        MR         R2
 8.651E+02  5.359E-01
 1.628E+03  5.603E-01
 9.726E+02  1.089E-01
 8.369E+02  1.913E-01
 1.180E+03  1.236E-01
 4.863E+02  4.998E-01
 9.160E+02  3.697E-01
 9.108E+02  1.445E-01
 8.975E+02  2.911E-01
 1.095E+03  3.170E-01
 1.127E+03  2.658E-01
 8.439E+02  2.241E-01
 1.133E+03  1.144E-01
 1.037E+03  2.211E-01
 7.760E+02  4.887E-01
 7.302E+02  3.996E-01
 8.818E+02  2.264E-01
 7.874E+02  3.792E-02
 1.027E+03  4.117E-01
 7.412E+02  7.596E-01
 1.523E+03  2.815E-01
 1.736E+03  7.016E-02
 7.386E+02  3.584E-01
 7.138E+02  1.332E-01
 1.013E+03  7.311E-01
 1.071E+03  1.053E-01
 1.189E+03  3.073E-01
 8.731E+02  5.498E-01
 7.897E+02  1.130E-01
 1.471E+03  2.001E-01
 1.207E+03  3.168E-01
 1.490E+03  4.941E-01
 1.167E+03  3.446E-01
 9.204E+02  6.166E-01
 7.581E+02  6.511E-01
 9.042E+02  3.593E-02
 9.121E+02  5.305E-01
 9.916E+02  5.614E-02
 5.388E+02  5.015E-01
 7.389E+02  3.036E-02
 2.026E+03  1.546E-01
 5.768E+02  5.561E-01
 2.078E+03  4.008E-02
 5.061E+02  3.617E-01
 1.159E+03  1.247E-01
 7.329E+02  7.810E-02
 9.460E+02  5.406E-01
 1.266E+03  2.337E-01
 1.442E+03  4.524E-01
 9.904E+02  2.530E-01
 1.124E+03  1.620E-01
 1.818E+03  1.923E-01
 1.333E+03  3.749E-01
 8.523E+02  5.774E-01
 1.286E+03  2.011E-01
 7.597E+02  3.542E-01
 1.542E+03  1.501E-01
 1.076E+03  8.709E-02
 1.009E+03  3.940E-01
 7.633E+02  7.506E-01
 2.169E+03  3.716E-01
 9.700E+02  2.441E-01
 1.158E+03  4.899E-01
 1.730E+03  3.395E-02
 1.526E+03  7.324E-02
 7.076E+02  2.545E-01
 7.152E+02  5.425E-01
 7.474E+02  9.275E-01
 1.328E+03  1.790E-01
 7.420E+02  3.729E-01
 6.786E+02  7.224E-02
 2.096E+03  1.603E-01
 4.911E+02  2.705E-01
 4.300E+02  4.110E-01
 1.074E+03  6.005E-01
 1.188E+03  2.805E-01
 1.315E+03  8.291E-02
 2.234E+03  1.416E-03
 9.382E+02  3.452E-01
 6.653E+02  2.362E-01
 2.254E+03  1.137E-01
 1.277E+03  4.070E-01
 1.647E+03  5.117E-02
 1.502E+03  1.049E-02
 6.721E+02  1.030E-01
 1.761E+03  5.293E-02
 1.392E+03  3.108E-01
 4.305E+02  2.990E-01
 1.401E+03  2.885E-02
 6.526E+02  2.760E-01
 3.577E+03  6.073E-02
 6.321E+02  8.131E-01
 8.882E+02  3.493E-01
 6.180E+02  3.575E-01
 1.740E+03  1.168E-01
 6.561E+02  3.235E-01
 5.788E+02  8.649E-01
 5.145E+02  1.727E-01
 8.034E+02  3.792E-02
 3.050E+02  6.991E-01
