        MR         R2
 4.719E+02  1.185E-01
 6.323E+02  4.050E-02
 6.639E+02  3.042E-02
 5.593E+02  4.261E-02
 3.960E+02  1.454E-02
 5.218E+02  2.193E-02
 3.636E+02  6.127E-02
 6.614E+02  7.708E-02
 2.942E+02  2.806E-01
 7.198E+02  2.086E-02
 6.352E+02  3.019E-02
 7.515E+02  1.551E-02
 3.669E+02  5.945E-03
 3.759E+02  4.040E-02
 1.999E+03  1.248E-02
 5.422E+02  4.749E-02
 1.437E+03  1.374E-02
 7.155E+02  8.319E-03
 8.079E+02  4.768E-02
 7.657E+02  2.092E-02
 3.697E+02  2.543E-01
 2.136E+03  2.638E-04
 4.429E+02  3.423E-01
 1.573E+03  1.042E-02
 6.218E+02  3.157E-03
 6.055E+02  3.011E-02
 2.397E+02  6.757E-01
 5.325E+02  2.692E-02
 4.952E+02  9.661E-02
 5.417E+02  2.356E-02
 5.622E+02  1.147E-02
 3.988E+02  2.653E-01
 5.224E+02  3.295E-02
 1.078E+03  7.571E-03
 8.181E+02  8.809E-02
 5.913E+02  2.103E-01
 5.711E+02  2.000E-02
 5.409E+02  1.804E-01
 5.007E+02  1.115E-01
 5.470E+02  4.536E-02
 6.930E+02  8.337E-03
 6.967E+02  7.105E-02
 9.177E+02  9.583E-04
 4.618E+02  4.934E-02
 4.922E+02  2.390E-02
 1.048E+03  1.334E-02
 8.997E+02  8.223E-03
 4.265E+02  1.042E-01
 4.355E+02  6.910E-02
 5.488E+02  2.279E-02
 2.931E+02  5.783E-01
 9.713E+02  6.100E-03
 3.605E+02  9.477E-02
 5.420E+02  8.958E-03
 8.784E+02  3.788E-02
 4.314E+02  2.746E-02
 4.721E+02  2.931E-03
 5.104E+02  1.326E-02
 8.633E+02  1.295E-02
 5.977E+02  9.682E-03
 7.672E+02  8.324E-02
 1.267E+03  1.877E-02
 5.347E+02  7.056E-02
 9.939E+02  1.481E-02
 3.746E+02  4.517E-01
 3.747E+02  2.061E-02
 4.199E+02  3.949E-02
 6.788E+02  2.240E-02
 9.252E+02  1.780E-02
 6.829E+02  2.081E-01
 4.106E+02  5.135E-02
 3.830E+02  1.928E-02
 4.447E+02  2.067E-01
 5.524E+02  2.109E-02
 5.491E+02  8.084E-02
 6.459E+02  1.235E-02
 4.981E+02  1.245E-01
 8.263E+02  9.804E-03
 3.270E+02  1.600E-01
 4.478E+02  6.790E-02
 6.006E+02  5.085E-02
 7.310E+02  5.241E-02
 6.871E+02  1.901E-02
 3.755E+02  2.395E-02
 5.420E+02  7.669E-02
 4.912E+02  4.338E-02
 6.008E+02  4.939E-02
 6.011E+02  4.928E-02
 6.732E+02  3.424E-02
 5.140E+02  2.449E-02
 4.351E+02  1.389E-02
 3.148E+02  3.101E-03
 5.018E+02  5.956E-02
 5.577E+02  2.351E-01
 4.494E+02  3.418E-02
 5.990E+02  3.150E-02
 8.836E+02  2.719E-02
 3.947E+02  4.345E-02
 7.552E+02  6.486E-02
 7.174E+02  2.279E-02
 4.699E+02  7.214E-02
 4.761E+02  1.250E-01
 5.655E+02  4.663E-02
 9.790E+02  2.334E-01
 1.021E+03  5.288E-02
 4.577E+02  1.065E-01
 6.368E+02  3.558E-02
 7.466E+02  6.976E-03
 5.414E+02  3.824E-02
 6.747E+02  2.317E-02
 5.168E+02  4.696E-02
 8.975E+02  5.804E-03
 6.911E+02  1.346E-01
 6.736E+02  5.655E-03
