weight int_weight lept1_pt lept1_eta lept1_phi lept1_charge lept1_pfx lept1_sip lept2_pt lept2_eta lept2_phi lept2_charge lept2_pfx lept2_sip lept3_pt lept3_eta lept3_phi lept3_charge lept3_pfx lept3_sip lept4_pt lept4_eta lept4_phi lept4_charge lept4_pfx lept4_sip iso_max sip_max Z1mass Z2mass angle_costhetastar angle_costheta1 angle_costheta2 angle_phi angle_phistar1 KD psKD gravKD pt4l mass4l pfmet jet1_pt jet1_eta jet1_phi jet1_et jet2_pt jet2_eta jet2_phi jet2_et deltaetajj massjj VD njets
0.669924 0.500032 102.797 1.8894 -2.35164 -1 0.0795357 0.497979 5.44274 -0.667033 1.05581 1 0.762907 1.89381 32.357 1.41922 -1.96237 1 0.299913 0.0557675 29.7091 1.95679 -1.64621 -1 0.205582 0.137665 0.316203 1.89381 91.3013 19.4916 -0.368204 -0.264223 0.159465 -1.50511 0.395862 0.366041 2.98311e+17 0 153.091 125.534 31.0427 67.2297 1.04633 1.00739 68.2262 55.7066 -2.56243 1.18038 55.7457 3.60876 364.333 0.719529 3
0.858204 0.498993 126.209 1.48813 1.94209 -1 0.0165238 1.59189 44.3485 0.303238 1.92728 1 0.0831565 2.54413 20.4982 1.09147 2.70787 -1 0.119454 0.42495 17.6855 0.451648 2.23324 1 0.217526 0.77068 0.0594968 2.54413 93.9319 15.2895 0.622047 0.673723 0.0154708 -0.272549 -0.297482 0.173095 2.98311e+17 0 203.125 122.204 7.32996 156.808 -1.03479 -1.41932 159.149 73.2315 2.11518 -0.646225 73.3596 3.14997 506.724 0.664286 3
0.764812 0.504887 37.0598 1.20371 -2.92093 1 0.192398 0.345279 53.0888 0.910355 0.327982 -1 0.286547 0.420399 10.4679 2.20446 -1.16569 -1 0.46954 1.36193 17.484 1.27263 -3.0794 1 0.513877 0.626325 0.39678 1.36193 89.5423 25.6895 -0.641147 0.808806 -0.0639211 -0.23696 -0.63835 0.594276 2.98311e+17 0 1.88321 126.104 79.1523 33.0441 0.87103 2.06866 34.0357 30.5046 -1.18778 -1.3027 31.1531 2.05881 102.537 0.390273 2
1.84642 0.563913 30.0901 -1.7939 -2.6372 -1 0.317116 1.05993 37.778 -0.136641 -0.23438 1 0.309101 0.938386 7.26633 0.315348 1.05913 -1 0.385578 0.580073 30.5257 -0.858142 -1.25564 1 0.182846 2.19477 0.301317 2.19477 88.6552 32.9598 -0.480667 0.705971 -0.425143 -2.56488 2.08551 0.762912 2.98311e+17 0 51.6214 125.249 6.89436 44.3393 3.94602 0.910038 44.341 32.3644 -3.67028 -2.87294 32.3672 7.6163 1707.99 1.69887 2
1.44206 0.542541 35.1816 -0.498888 0.40183 1 0.261878 1.84656 65.4103 0.0211097 2.57715 -1 0.124675 1.72382 9.14435 -1.48626 3.10514 1 0.591241 0.822317 19.0171 0.526411 1.56856 -1 0.110537 1.21468 0.24802 1.84656 88.6278 36.232 0.940961 0.418384 -0.893829 2.4891 2.0579 0.851519 2.98311e+17 0 75.2362 124.895 64.5031 33.7518 -3.25975 -1.43179 33.7599 32.7271 -2.67899 -0.858856 32.7442 0.580757 32.3839 0.110754 2
0.956841 1.21347 77.2646 -0.701571 -2.48294 -1 0.0605354 0.181692 20.4239 -0.53292 -0.420967 1 0.180789 0.993986 14.7419 -1.66928 2.47803 1 0.226766 1.531 7.84825 1.11391 -0.917646 -1 0.070607 1.00664 0.135004 1.531 68.4823 45.8491 -0.293096 0.713433 -0.014399 2.06246 -1.62222 0.931497 2.98311e+17 0 72.2338 125.221 8.2983 47.6038 -1.08418 0.654259 48.0355 37.0978 -1.92182 0.53072 37.2238 0.837633 42.6631 0.158965 2
0.632773 0.528245 59.5864 -1.53981 1.63233 -1 0.181719 0.606582 22.329 -0.0422425 -0.720193 1 0.384438 1.01107 11.1288 -1.88137 -0.488479 -1 1.27237 1.03946 23.1641 -1.67841 1.40871 1 0.110652 1.07491 1.03494 1.07491 90.1158 38.8556 0.828795 -0.142682 0.438729 -2.93395 -3.13452 0.648233 2.98311e+17 0 63.924 140.175 19.5216 76.5575 -0.552674 -1.7219 77.6067 41.8867 0.991273 2.07015 42.6599 1.54395 146.781 0.306092 3
1.41982 0.574358 127.361 1.74554 -1.60453 1 0.0141672 0.634522 42.5031 0.86497 -2.37313 -1 0.224391 0.476038 22.2408 1.6245 -2.89392 1 0.122747 1.45098 16.4804 0.983143 -1.80756 -1 0.0573207 1.18577 0.187734 1.45098 86.7144 23.4047 0.528614 -0.865332 -0.653798 -0.0835401 -2.36106 0.402708 2.98311e+17 0 188.217 120.906 30.0645 101.06 -2.40274 1.33298 101.178 57.6113 -1.63732 0.842585 57.9325 0.765422 84.4055 0.153982 2
0.66039 0.61346 37.4191 0.00822699 1.0612 -1 0.0755528 2.28132 57.3693 0.764778 -0.848419 1 0.0753496 0.354223 9.83027 1.40923 0.00103419 1 0.242373 1.8161 43.8926 -0.00610135 0.188772 -1 0.0632008 0.149734 0.0635868 2.28132 83.7196 32.1533 0.228272 -0.496441 0.73549 -1.28556 -1.97426 0.878377 2.98311e+17 0 109.149 122.933 9.04362 50.2538 3.75885 3.10062 50.2564 49.4909 -0.521205 -2.86296 51.1141 4.28005 423.458 0.851713 2
0.642239 0.567512 24.0707 1.48087 0.945317 -1 0.310063 0.81272 26.3999 -0.695605 -2.01046 1 0.222657 0.0984656 21.1622 -0.527996 0.393022 1 0.144571 0.429185 12.7506 1.0035 1.4976 -1 0.291487 1.15037 0.310063 1.15037 83.2044 32.6163 0.347217 -0.246525 -0.419857 -0.495681 -0.110251 0.911122 2.98311e+17 0 28.55 125.055 12.8923 139.827 -0.995086 3.14058 140.628 59.8688 -1.96022 0.388008 59.9958 0.965134 205.232 0.213129 3
