         x         y         z
    -0.249     0.507    -0.216
     1.586     1.930    -0.351
     1.050     0.261     0.838
     1.032     0.764     0.620
    -1.045    -0.837    -0.579
     1.897     0.977     0.530
    -1.428    -1.666     0.094
     0.793    -0.442     0.644
    -1.033    -1.395    -0.151
    -1.617     0.981    -0.556
    -1.465     0.653    -0.790
    -0.013     1.998     0.005
    -1.941     0.748    -0.683
    -0.077    -1.594     0.002
     0.696    -1.426     0.092
     0.628     1.268     0.175
     0.649    -1.895    -0.192
     0.808     1.384     0.134
    -0.094     0.648    -0.075
     1.266     0.830     0.643
     0.031    -0.602     0.025
     1.316    -1.544     0.026
    -0.848    -1.517    -0.040
    -0.258    -1.159    -0.102
    -0.557     0.894    -0.331
    -1.857    -0.566    -0.810
     0.342    -0.033     0.335
     1.996    -0.407     0.837
    -0.981     0.330    -0.786
    -1.783     0.885    -0.619
    -0.761     0.064    -0.688
    -0.276     0.537    -0.235
    -0.914    -1.337    -0.184
    -0.990    -0.801    -0.582
    -1.616    -0.579    -0.836
    -0.106     0.733    -0.079
     0.763    -0.583     0.577
     1.852    -1.632    -0.059
    -1.604     0.882    -0.635
     0.340    -0.026     0.333
     0.708     1.467     0.067
    -0.929     1.666     0.076
    -1.353    -1.059    -0.478
     1.514    -1.432     0.138
     1.935     0.021     0.934
    -1.396    -0.630    -0.796
     1.726    -0.820     0.674
    -0.458    -1.344    -0.099
     0.088    -0.553     0.074
    -0.358    -0.085    -0.349
     0.929     0.122     0.795
    -0.133     1.977     0.052
    -0.174    -0.214    -0.169
     1.761    -0.757     0.713
    -0.808    -0.534    -0.622
     0.291     0.451     0.259
    -1.478     1.752     0.179
     1.790    -0.659     0.772
     1.109     0.582     0.748
     0.534    -0.108     0.506
    -0.497     0.423    -0.435
     0.397     1.037     0.197
    -1.828    -1.869     0.284
     0.331    -1.416     0.050
     1.408    -0.700     0.755
    -0.209    -1.697     0.026
     1.608    -0.795     0.700
     0.830    -0.735     0.547
    -0.161    -1.003    -0.086
     0.409    -1.185     0.150
    -0.331     1.989     0.132
    -0.314    -0.970    -0.175
    -0.915     1.387    -0.144
    -1.843     1.031    -0.495
     0.088    -0.617     0.072
     0.029     0.675     0.023
    -1.466    -0.407    -0.913
     1.385     0.492     0.866
     0.553     0.085     0.523
     1.544     0.050     0.998
    -0.243    -1.081    -0.113
    -1.270     1.066    -0.462
     1.534    -1.475     0.095
    -1.471    -1.720     0.148
     1.140    -0.991     0.498
     0.486     0.626     0.378
     0.391    -0.076     0.380
    -0.254    -0.287    -0.241
    -1.813    -1.167    -0.382
     1.864     1.514     0.054
     1.419     0.105     0.983
    -1.343    -1.001    -0.525
    -1.834     0.061    -0.964
    -0.801     0.734    -0.533
     1.746    -1.648    -0.076
     1.233    -0.908     0.580
     1.366    -0.936     0.581
     0.247    -0.061     0.244
    -0.929     0.032    -0.800
    -1.425     1.470    -0.099
     1.727     1.197     0.360
     1.512     1.316     0.252
    -1.740    -0.543    -0.844
    -1.292     0.009    -0.961
     1.089    -1.360     0.186
    -0.430     0.359    -0.390
     0.236     1.473     0.023
     1.450    -0.394     0.917
     0.078     0.393     0.072
     1.631     0.251     0.967
    -0.900    -1.735     0.128
     0.758    -1.088     0.319
     0.619     0.194     0.569
     0.949     1.301     0.217
     1.422     0.028     0.989
    -0.433    -0.908    -0.258
     0.266     1.628    -0.015
    -1.513     0.311    -0.950
     0.477    -1.554     0.008
     1.831    -0.341     0.911
    -1.576    -0.096    -0.995
     0.912    -1.664    -0.074
     1.646     1.180     0.379
    -1.748    -1.280    -0.282
    -0.517    -0.240    -0.480
    -1.084     0.588    -0.735
     0.058    -1.510     0.004
    -1.619     0.388    -0.925
     0.492     1.774    -0.095
    -0.416     1.473    -0.039
    -0.949    -1.976     0.320
    -1.945    -1.075    -0.442
     1.723     1.600    -0.029
     1.862    -1.404     0.159
    -0.207    -0.540    -0.176
    -1.448    -0.266    -0.958
     1.772    -0.670     0.768
     0.437     1.938    -0.152
    -0.739    -0.780    -0.479
    -0.930     1.982     0.320
     0.546    -0.252     0.503
    -0.049    -1.324    -0.012
    -0.213    -0.475    -0.188
    -0.159    -0.893    -0.100
    -1.349     0.527    -0.843
    -0.495     0.158    -0.469
    -0.458     0.609    -0.363
    -0.583     0.188    -0.541
    -1.393    -1.201    -0.356
    -1.469     1.427    -0.143
    -1.877     1.089    -0.442
     0.126     1.452     0.015
    -1.625    -0.083    -0.995
     0.352    -0.831     0.233
    -0.598     1.678     0.060
     1.914     1.398     0.162
     1.621    -1.505     0.066
    -1.357     1.222    -0.334
    -0.891     0.796    -0.544
     1.014    -0.392     0.785
     1.333    -0.147     0.961
     0.395     0.906     0.238
     0.144    -1.757    -0.027
    -1.436    -1.812     0.237
    -0.067    -0.901    -0.041
     0.039    -0.324     0.037
     0.681     1.554     0.010
    -1.589    -1.114    -0.441
    -1.922     1.180    -0.357
     1.632    -0.944     0.585
     0.059     0.357     0.056
    -1.334    -0.072    -0.970
    -1.169     0.299    -0.880
    -1.161    -1.691     0.110
     0.210     0.468     0.186
     1.907    -0.024     0.944
    -0.587    -1.645     0.041
     1.950     0.148     0.919
    -1.790    -0.936    -0.579
     1.944     0.917     0.566
    -1.455     0.714    -0.751
    -0.655     0.576    -0.511
    -1.291    -0.044    -0.960
     1.307     1.275     0.282
    -1.427     1.250    -0.312
     1.978     1.546     0.023
     0.156     0.129     0.154
    -0.699    -0.436    -0.583
    -1.175     1.764     0.177
     1.832     0.425     0.880
     1.367     1.343     0.221
     0.397     1.945    -0.141
     0.966    -0.108     0.818
     1.145     0.445     0.822
     0.226    -1.596    -0.006
     0.382     0.445     0.337
     0.812     1.448     0.089
     0.307    -1.218     0.105
     1.003     1.548     0.019
    -0.225     1.610     0.009
