weight int_weight lept1_pt lept1_eta lept1_phi lept1_charge lept1_pfx lept1_sip lept2_pt lept2_eta lept2_phi lept2_charge lept2_pfx lept2_sip lept3_pt lept3_eta lept3_phi lept3_charge lept3_pfx lept3_sip lept4_pt lept4_eta lept4_phi lept4_charge lept4_pfx lept4_sip iso_max sip_max Z1mass Z2mass angle_costhetastar angle_costheta1 angle_costheta2 angle_phi angle_phistar1 KD psKD gravKD pt4l mass4l pfmet jet1_pt jet1_eta jet1_phi jet1_et jet2_pt jet2_eta jet2_phi jet2_et deltaetajj massjj VD njets
0.853041 0.542228 48.7422 1.47015 2.06115 1 0.220313 1.38281 40.0759 0.00247071 0.719807 -1 0.184054 0.42149 20.5023 1.48979 1.59511 -1 0.273103 0.203183 11.2865 1.3154 -3.00505 1 0.254628 1.08216 0.228775 1.38281 89.6532 22.8423 -0.771088 0.922107 -0.0648613 2.34404 -2.02317 0.435619 -8.89719e+21 0 88.4928 121.787 11.5348 82.442 2.39327 -1.2908 82.5157 0. 0. 0. 0. 0. 0. 0. 1
1.69414 0.541133 37.2087 -0.240122 -2.41474 -1 0.314593 0.639074 56.1571 -0.166327 0.31054 1 0.139536 0.359541 15.423 0.0498428 -1.56647 1 0.443783 0.794342 15.0946 0.0761485 2.16536 -1 0.315897 0.77937 0.399557 0.794342 89.5133 29.2007 -0.430797 -0.789773 0.234417 -2.32226 -2.2847 0.649725 -8.89719e+21 0 20.2098 123.071 17.5677 51.6458 1.81994 1.20911 51.8111 44.3586 -2.27645 -2.62294 44.3965 4.0964 376.632 0.809665 2
1.43539 0.604037 34.4287 1.53055 -2.30413 -1 0.0233108 0.487952 29.78 -0.302407 -0.248815 1 0.0979794 0.522517 14.3557 0.455385 -2.61276 1 0.114808 0.744666 13.9599 0.0509889 0.796053 -1 0.236392 0.28334 0.156064 0.744666 86.7738 28.6477 0.690187 0.485119 0.363641 2.29865 -0.782464 0.709452 -8.89719e+21 0 30.3474 119.977 3.15279 38.1664 2.93382 2.20392 38.1718 0. 0. 0. 0. 0. 0. 0. 1
0.848294 0.614146 57.7495 -1.43011 -1.49404 -1 0.0676834 0.891243 86.7203 -0.60365 -0.578533 1 0 0.508912 18.0102 -1.83 -1.00472 1 0.03346 0.12961 10.778 -0.256192 -2.18442 -1 0.445814 0.380092 0.390203 0.891243 86.7892 28.7921 0.128941 -0.759735 -0.0126807 2.10642 -2.46361 0.906077 -8.89719e+21 0 152.06 122.504 21.3114 143.344 3.98029 1.8183 143.346 63.8809 -2.43925 -2.91259 63.9354 6.41955 2371.18 1.61079 2
0.658611 1.32216 14.9401 -1.34068 -2.4303 -1 0.141962 3.95845 64.5362 -0.71497 0.904016 1 0.0354672 0.432598 16.6553 -1.79935 1.8974 -1 0.359913 1.51905 35.8231 -0.85527 2.92502 1 0.101845 0.16999 0.318163 3.95845 64.8929 33.8981 0.312635 -0.828277 -0.441292 -1.89829 -1.45109 0.705159 -8.89719e+21 0 65.4929 125.323 1.16218 79.8518 -2.41181 -1.84618 79.9114 0. 0. 0. 0. 0. 0. 0. 1
1.10452 0.544358 120.41 -1.69138 1.69116 -1 0.0192816 0.680574 23.0156 -0.63664 3.09086 1 0.216798 0.135781 17.394 -2.03547 2.53628 -1 0.0710808 1.07289 66.3679 -1.60128 2.12544 1 0.0472259 1.69724 0.202748 1.69724 89.3245 20.3298 0.706608 -0.112037 -0.278865 2.08386 2.78826 0.416118 -8.89719e+21 0 206.141 124.465 22.0162 139.726 2.29739 -0.996696 139.782 68.5461 -2.73993 -1.42366 68.5591 5.03733 1207.93 1.13864 2
0.773073 0.519137 13.3163 1.32868 0.940417 1 0 1.00046 95.2051 -0.168466 -1.69787 -1 0.123362 1.48777 12.9148 0.639045 -2.33261 -1 0.431887 0.709634 42.1679 -0.339598 -1.62783 1 0.173892 0.915294 0.322328 1.48777 90.3909 28.7081 0.438825 -0.952457 -0.591132 2.37698 -1.63244 0.737816 -8.89719e+21 0 136.015 123.51 22.5067 262.322 -1.52495 1.39373 262.864 96.2172 2.35208 -1.68536 96.2756 3.87704 1128.36 0.914512 2
0.629593 0.539635 40.6387 -1.35108 -0.365325 -1 0.0716617 0.978084 41.1152 0.463297 0.36802 1 0.103294 0.539924 50.6332 -0.366749 -0.704169 1 0.0589781 0.536874 10.1937 -0.232372 -0.0352475 -1 0.465468 0.422849 0.0302749 0.978084 89.6892 15.2297 -0.0364758 -0.148748 -0.807171 2.09645 2.86949 0.183698 -8.89719e+21 0 129.342 123.529 19.3155 118.684 -3.41176 -1.84089 118.689 95.9268 0.508004 2.61216 97.7706 3.91977 766.831 0.852789 3
0.685579 0.543763 30.5537 1.182 1.27251 1 0.247999 0.566355 48.6368 0.0518163 -2.26221 -1 0.113064 1.39173 11.3127 1.40572 -2.72366 1 0.293662 1.38939 22.5652 0.960446 -1.38292 -1 0.206848 0.374098 0.293662 1.39173 88.4673 21.1106 -0.729919 -0.129224 0.339346 1.37105 2.50762 0.526147 -8.89719e+21 0 44.9376 122.962 19.499 34.062 -2.75056 0.592532 34.068 0. 0. 0. 0. 0. 0. 0. 1
0.768892 0.977746 53.0223 0.662863 1.56659 -1 0.0943982 0.809599 37.6464 0.968108 -2.73033 1 0.126113 0.801952 22.5898 0.762439 -2.24901 -1 0.112223 1.37556 42.2179 0.772156 2.65049 1 0.122545 1.27407 0.056652 1.37556 76.099 39.405 -0.0802279 0.930937 0.148823 2.53259 1.96416 0.828525 -8.89719e+21 0 94.6855 124.625 37.0748 74.7842 4.37242 -1.05557 74.7851 41.1549 -0.51119 0.667919 41.9772 4.88361 642.946 1.0025 2
