weight int_weight lept1_pt lept1_eta lept1_phi lept1_charge lept1_pfx lept1_sip lept2_pt lept2_eta lept2_phi lept2_charge lept2_pfx lept2_sip lept3_pt lept3_eta lept3_phi lept3_charge lept3_pfx lept3_sip lept4_pt lept4_eta lept4_phi lept4_charge lept4_pfx lept4_sip iso_max sip_max Z1mass Z2mass angle_costhetastar angle_costheta1 angle_costheta2 angle_phi angle_phistar1 KD psKD gravKD pt4l mass4l pfmet jet1_pt jet1_eta jet1_phi jet1_et jet2_pt jet2_eta jet2_phi jet2_et deltaetajj massjj VD njets
2.213 0.475297 35.9888 -2.20415 -1.03952 -1 0.0477727 1.00674 34.2064 -0.587051 1.53643 1 0.232299 0.227537 17.4681 -2.05993 2.68048 -1 0.354048 0.442891 10.1496 -1.93619 -0.224221 1 0.255325 0.45828 0.234026 1.00674 92.3346 26.4968 0.773304 -0.299246 0.671463 2.44836 -2.3681 0.354203 -8.89719e+21 0 16.1811 124.96 42.3899 79.6144 2.27962 0.381629 79.6639 34.0325 -3.40547 -2.91268 34.0353 5.68509 896.481 1.19544 2
0.702517 0.85696 27.5916 -0.636125 -1.28935 -1 0.152498 0.891385 47.8389 -0.528005 0.97338 1 0.159233 0.810473 13.8326 -1.30294 -1.06055 1 0.0907125 0.756005 69.8459 -0.600819 0.811498 -1 0.100812 1.4342 0.138785 1.4342 69.2353 54.7899 0.603439 0.765929 0.730838 -2.8706 2.49781 0.530188 -8.89719e+21 0 107.852 128.543 7.79214 127.17 -2.72238 -2.81143 127.178 31.6205 1.91473 -0.395488 31.6933 4.63712 649.543 0.959393 2
0.905759 0.826361 153.151 0.232372 -2.54084 -1 0.015589 0.36569 48.572 -0.244018 -1.85752 1 0.150355 0.153496 5.03137 0.197672 -0.51249 1 0.574158 0.298782 23.7296 0.379716 2.64367 -1 0.302352 0.495542 0.291219 0.495542 71.1401 21.9465 -0.0846891 0.273855 0.491716 -0.459137 -0.967942 0.796505 -8.89719e+21 0 199.881 124.45 28.0996 106.16 -2.68583 1.14491 106.187 96.6788 3.25425 0.394372 96.6968 5.94008 1971.42 1.44773 3
1.37101 0.516837 26.5695 -1.27385 1.6809 1 0.073472 0.793709 90.3353 -1.09525 -0.642447 -1 0.116561 0.311706 29.85 -1.71253 -0.760433 1 0.189523 1.73383 11.7579 -0.653766 -1.34597 -1 0.594763 0.010646 0.227448 1.73383 90.3229 23.4239 0.611132 -0.564902 -0.442729 1.46417 -1.42701 0.827769 -8.89719e+21 0 111.092 121.835 29.4064 71.854 1.05022 2.03929 72.5889 63.9514 -3.85066 -2.56602 63.9552 4.90088 789.145 1.03368 2
1.74727 0.545075 57.797 1.23869 -0.782522 1 0.113101 1.24399 31.7545 0.515536 2.79009 -1 0.146904 0.736648 45.5058 0.970086 -1.54031 -1 0.07385 0.963268 6.29764 0.922923 2.81853 1 0.423044 0.519438 0.130361 1.24399 89.4875 27.7926 -0.198272 0.23223 0.821934 2.8275 2.03251 0.61237 -8.89719e+21 0 73.5984 127.016 16.7603 86.42 -0.225888 0.554599 87.5606 61.5892 3.54247 2.78006 61.5922 3.76836 489.836 0.772353 2
0.682264 0.568098 25.314 1.49735 2.24665 -1 0.0895659 1.04146 28.4493 -0.731355 0.229642 1 0.200945 0.111675 18.6016 -0.278474 0.617439 1 0.209006 1.10232 9.79089 -0.936486 1.59963 -1 0.195004 0.278429 0.141849 1.10232 85.9531 15.6154 0.8516 0.877119 -0.0361007 -1.1371 -1.22586 0.249492 -8.89719e+21 0 53.8903 116.818 20.864 65.657 3.08069 -2.85855 65.6655 58.6758 -2.89655 -1.59159 58.7021 5.97725 1231.98 1.31244 2
1.9024 0.494428 49.7577 1.02479 1.88023 -1 0.261987 1.10767 48.4962 0.49439 -2.11514 1 0.0372695 1.37238 8.15527 1.65085 -2.59997 -1 0.395856 0.706285 19.0923 0.496786 -1.46174 1 0.321385 0.452378 0.278404 1.37238 93.2337 20.307 -0.127484 0.829199 -0.515716 1.2947 -0.952644 0.453223 -8.89719e+21 0 48.3669 123.952 43.5209 64.1121 -0.93573 -0.344624 65.1689 54.0105 2.25912 1.77521 54.0784 3.19485 299.352 0.632549 2
0.829115 0.507181 29.2758 2.17785 0.745155 -1 0.2269 0.184324 89.6804 0.638591 1.23224 1 0.0921445 1.32975 28.4899 0.290878 1.50615 1 0.337412 2.50321 12.7646 1.09094 2.09592 -1 0.576005 1.38502 0.337412 2.50321 90.3371 19.194 0.693902 0.645233 -0.459582 0.69764 -1.47509 0.44089 -8.89719e+21 0 151.317 124.764 24.1287 148.884 -0.629745 -2.49681 149.935 104.398 1.21332 -0.295573 104.861 1.84306 347.168 0.398407 2
0.643879 0.832228 18.3489 1.15269 0.818698 -1 0.0826232 0.289398 84.23 0.591018 3.07084 1 0.0685213 0.933277 35.8395 0.0407998 -2.55126 -1 0.314708 1.56872 19.4623 0.602396 -2.54014 1 0.259314 0.819301 0.295136 1.56872 74.4216 15.0333 0.452223 0.275124 0.455371 -1.29769 -1.87359 0.697435 -8.89719e+21 0 117.877 117.075 48.3622 73.8361 1.14964 -0.176578 74.353 52.4562 -2.32412 0.404255 52.519 3.47376 345.774 0.691665 2
2.51617 0.507496 53.4523 -0.817316 2.23588 1 0.0728945 1.08793 117.378 0.221121 1.87205 -1 0.062614 0.440931 7.92181 1.27538 2.15425 -1 0.599972 1.96199 16.926 -0.273385 1.07117 1 0.12442 0.974223 0.181497 1.96199 90.6505 23.1054 -0.500178 -0.199707 0.140668 1.17291 -0.504722 0.690106 -8.89719e+21 0 186.942 125.186 17.109 148.173 2.48102 -1.21942 148.224 49.2382 -2.08468 -1.33836 49.3141 4.5657 829.626 0.981113 2
